first_author,year,title,country,LME ID,LME,distance_to_shore,depth,reference,wave_height_average_m,reference,sst_c,reference,biodiversity_indicator,reference,nutrients_n_p_chla,reference,policy_pathways,regulations,management_obstacles,gross_cost_usd,stakeholder_support,conflicts,aquaculture_present,wind_present,wave_present,tidal_present,other_present,phrase_identifier,definition,notes
Zanuttigh et al,2016,A methodology for multi-criteria design of multi-use offshore platforms for marine renewable energy harvesting,Mediterranean Sea,26,Mediterranean Sea,,,,,,,,,,,,,"""As for aquaculture, the Legislative Decree No.11954 of 2010, Art. 4 (1) on the Production of marine animals and algae by biological aquaculture""","""The design of the MUP should follow the Regional, National and European legislation framework. However, the different uses have different level of regulations due also to the market development stage and number of existing installations.""",,,,yes,yes,yes,no,no,Recommendations,no,Presents methods for how to design co-located structures for specific areas
Maisondieu and Heal,2015,The impact of the MARINET initiative on the development of Marine Renewable Energy,,n/a,N/A,,,,,,,,,,,,,,,,,,no,yes,yes,yes,no,,,The MARINET initiative
Perez-Collazo et al,2015,A review of combined wave and offshore wind energy,European Seas,other,Other,,x,Page144 (mentions importance of looking at water depth to classify wind-wave systems),,,,,,,,,,,Calls for coordinated planning and a simplified licensing procedue,NOT EXACT # but talks about how industries could split start up costs,,,no,yes,yes,no,no,Review and recommendations,,Review of wind/wave combined synergies
Wever et al,2015,"Lessons from stakeholder dialogues on marine aquaculture in offshore wind farms: Perceived potentials, constraints and research gaps",German North Sea,22,North Sea,,,,,,,,,,,,Discusses EU policies about making changes to EEZs BUT also notes the vaugity of these policies in terms of how it allpies to co-location and calls for continued research on the matter,,,NOT EXACT # but discusses high investment cost and incremental return. Not feasible for individual fishers/farmers,there are winners and losers,Environmental impacts. Conflicts with fishermen,yes,yes,no,no,no,Stakeholder assessment,no,stakeholder workshop to gain insights and concerns
Lacroix and Pioch,2011,The multi-use in wind farm projects: more conflicts or a win-win opportunity?,Global,n/a,N/A,,,,,,,,,,,,,,,,,"""Not In My Backyard"" (NIMBY) effect",yes,yes,no,no,yes,Review and recommendations,no,"Fairly anecdotal; likely due to being 10 years old. TOuches on a lot of topics but doesn't have much data or make many serious claims but author has lots of ""ideas"""
Michler-Cieluch and Krause,2008,Perceived concerns and possible management strategies for governing ‘wind farm–mariculture integration’,German North Sea,22,North Sea,,,,,,,,,,,,,,lots of uncertainty about lack of management across sectors,,uncertainty,"biological, technical and economic concerns and hesitency",yes,yes,no,no,no,Stakeholder assessment,no,Semi-structured interviews of OWF sector and aquaculture sector along North Sea
Buck et al,2004,Extensive open ocean aquaculture development within wind farms in Germany: the prospect of offshore co-management and legal constraints,German North Sea,22,North Sea,,,,,,,,,,,,"to date, seems to be granting permits on a case-by-case basis ","distinction between EEZ and state waters
Table 1 gives extensive regulatory framework",legislative uncertaininties seem to be major drawback,,"potential to foster alliances between state and federal conservation organizations, fishers, and farmers. Economic cooperation",maritime traffic,yes,yes,no,no,no,Recommendations,,
Banach et al,2020,Food safety during seaweed cultivation at offshore wind farms: An exploratory study in the North Sea,North Sea,22,North Sea,,,,,,,,,,,,"""Public standards, FSSC 22000, and MSC/ASC are recommended for the sector, including policymakers, to consider when deciding which standards to implement for multi-use activities where seaweed is cultivated for food and purposes""",guidelines for seaweed food and safety,"""Further guidance is needed here to be able to implement such standards and to support future management and regulation of marine activities.""",,,,yes,yes,no,no,no,Review,no,Only food safety regulations
Nassar et al,2020,Assessment of Multi-Use Offshore Platforms: Structure Classification and Design Challenges,,n/a,N/A,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,Review,,
Weiss,2018,Marine renewable energy potential: A global perspective for offshore wind and wave exploitation,Global,other,Other,,</= 500 m,anything deeper than 500 m were excluded; listed different depth criterias for different tech (pg 48),x,pg 45,,,,,,,Notes that policies regional,,,,,,no,yes,yes,no,no,Siting,sites which are suitable for both wind and wave energy,
O'Donncha et al,2017,Modelling study of the effects of suspended aquaculture installations on tidal stream generation in Cobscook Bay,"Cobscook Bay, Maine",7,NE U.S. Continental Shelf,,x,mentioned in terms of its relationship to modelling flux/flow,,,,,,,,,,,,,,,yes,no,no,yes,no,,,
Onea et al,2017,Assessment of the potential for developing combined wind-wave projects in the European nearshore,European Seas,other,Other,,1.8-220 m,,x,pg 585 (included wave height as a parameter in equation,,,,,,,,,,,,,no,yes,yes,no,no,,,
Pringle et al,2017,Aquavoltaics: Synergies for dual use of water area for solar photovoltaic electricity generation and aquaculture,,n/a,N/A,,,,,,x,"Boeuf G, Le Bail P-Y. Does light have an influence on fish growth?",,,x,"Meseck SL, Alix JH, Wikfors GH. Photoperiod and light intensity effects on growth and utilization of nutrients by the aquaculture feed microalga, Tetraselmis chui","""Processes are simplified and become easier when knowledge is free and easily accessible to both small time users and large companies""",,Rapid growth of the industry requires that policy is dynamic and safeguards the environment while protecting operation costs,,,,yes,no,no,no,yes,Review and recommendations,,
Astariz and Iglesias,2016,Selecting optimum locations for co-located wave and wind energy farms. Part I: The Co-Location Feasibility index,North Sea,22,North Sea,10-30 km,x,"The next step for offshore wind energy. A report by the European wind energy association (EWEA, 2013); On some of the design aspects of wind energyconversion systems (Bansal et. al, 2002)",x,"WaveWatch III, data from Horns Rev wind farms",,,,,,,,European Commission has proposed directives for an MSP and Integrated Coastal Zone Management (ICZM),"""there is no EU legislation that directly regulates offshore energy.""",,,,no,yes,yes,no,no,Siting,,
Stuiver et al,2016,The Governance of Multi-Use Platforms at Sea for Energy Production and Aquaculture: Challenges for Policy Makers in European Seas,European Seas,other,Other,,,,,,,,,,,,"Makes 4 recommendations: 1) clear licensing procedure and framework, 2) financial support, 3) environmental management, 4) involved stakeholders from the onset
",,"Bureaucratic obstacles: authorizations, licenses, infrastructure, etc. Also, wave energy is still in its infancy and there is no regional or national legistlaion for it",,,,yes,yes,yes,yes,no,Case study,,compares case studies from different North Sea regions. Most optimistic circumstances are with Southern North Sea
O'Donncha et al,2015,Numerical modelling study of the effects of suspended aquaculture farms on tidal stream energy generation,,n/a,N/A,,,,,,,,,,,,,,,,,,yes,no,no,yes,no,modelling,no,modelling optimum density of aquaculure/tidal farms
Benassai et al,2014,A Sustainability Index of potential co-location of offshore wind farms and open water aquaculture,"North Sea, Baltic Sea",other,Other,,20-25 m (only applies to Danish coast),ETOPO2 seabed topography,,,x,"Advanced Very High Resolution Radiometer (AVHRR) Pathfinder from NOAA & University of Miami's Rosenstiel School of Marine and Atmospheric Science; A global map of human impact on marine ecosystems (Halpern et. al, 2008)",,,x,"Critical Regions: a GIS-based model of marine productivity hotspots (Valavanis, 2004), EWEA, 2009 Annual Report (www.ewea.org)",,,,,,,yes,yes,no,no,no,Sustainability Index,,
Christie et al,2014,Co-location of activities and designations: A means of solving or creating problems in marine spatial planning?,UK Waters,other,Other,,,,,,,,,,,,"Crown Estate is responsible for leasing the seabed, under MarineManagement Organisation (MMO) for licensing",Marine and Coastal Access Act 2009,leasing seabed beyond 12 nm is unclear,,,,yes,yes,no,no,no,Legal review,concurrent activities in time or space,Also review MPAs and fishing being co-located with wind but we dont care about those
Macadré et al,2014,Risk-Based Approach for the Development of Guidelines and Standards on Combined Marine Renewable Energy Platforms,European Seas,n/a,,,,,,,,,,,,,"Standards to be produced (IEC 62600 series under construction) will address such different fields as system definition, performance measurements, resource assessment requirements, safety requirements, power quality, manufacturing and factory testing, environmental impacts etc",,no standards have been written on MRE combined platforms,,,,no,yes,yes,no,no,Risk and recommendations,,
Abhinav et al,2020,"Offshore multi-purpose platforms for a Blue Growth: A technological, environmental and socio-economic review",,n/a,N/A,,,,,,,,,,,,,,,,"Wave/wind: job creation, low carbon impact, etc
aquaculture: food production","ORE: visual obstruction and conflict with fishermen
WEC: fishermen and other ocean space users
Aquaculture: workers rights, environmental impacts",yes,yes,yes,no,yes,,,
Fenu et al,2020,Analysis of a Gyroscopic-Stabilized Floating Offshore Hybrid Wind-Wave Platform,Shetland Island,22,North Sea,,,,,,,,,,,,,,,,,,no,yes,yes,no,no,,,
Gaughan and Fitzgerald,2020,An assessment of the potential for Co-located offshore wind and wave farms in Ireland,Atlantic Ocean,24,Celtic Biscay Shelf,,,,x,Irish Marine Weather Buoy Network (IMWBN); OCEANOR Wavesense wave sensor and data-logger,x,Irish Marine Weather Buoy Network (IMWBN),,,,,,,,"NOT EXACT # but says that wind/wave combinations could reduce capital costs by 12-14% and reduce O&M costs by 250,000 euros a year",,,no,yes,yes,no,no,,,
Jahangir et al,2020,Feasibility study of a zero emission PV/Wind turbine/Wave energy converter hybrid system for stand-alone power supply: A case study,"Persian Gulf, the Gulf of Oman, and the Caspian Sea",32,Arabian Sea,,,,"1.55 m (Anzali City), 1.21 m (Genaveh City), 0.825 m (Jask City)",pg. 6 (all are approximations and average was calculated,,,,,x,pg. 17 (table with amount of pollutants produced by MUPs),,,,Costs vary based on location (33.7-39.6M$ IC(?)) but optimal configurations are all photo/wind/battery and Pelamis wave convereted increases economic efficiency even more,,,no,yes,yes,no,yes,,,
Lopez et al,2020,Combined Floating Offshore Wind and Solar PV,Bay of Biscay,25,Iberian Coastal,,,,,,,,,,,,,,,NOT EXACT # but discusses reduces O&M costs,,,no,yes,no,no,yes,,,
Oliveira-Pinto et al,2020,Assessment of the potential of combining wave and solar energy resources to power supply worldwide offshore oil and gas platforms,"Gulf of Mexico, North Sea, West-Central Australian Shelf",other,Other,,,,,,,,,,,,,,,"NOT EXACT # but using solar/wave combinations at O&G platforms at the three locations would contribute for a reduction of ca. 281,915 t/year of CO2 at each site. Table 3/4 gives costs of certian items in Euros/Watt Peak",,,no,no,yes,no,yes,,,examines economic and environmental aspects of powering O&G wiht solar/wave units
Safari et al,2020,"Rural Public Acceptance of Wind and Solar Energy: A Case Study from Mersing, Malaysia",Malaysia,36,South China Sea,,,,,,,,,,,,,,,,,,no,yes,no,no,yes,Case study,,
Bonnevie et al,2019,Assessing use-use interactions at sea: A theoretical framework for spatial decision support tools facilitating co-location in maritime spatial planning,EU,n/a,N/A,,,,,,,,,,,,,,,,"""positive user"" effects of shared visitor or shared staff",,yes,no,no,no,yes,Recommendations,“the same sea area can have simultaneously more than one use”,Great and thorough definition of co-location and the other terms (section 2.1). Other conclusions are generally vague
Buhagiar et al,2019,Small-scale Experimental Testing of a Novel Marine Floating Platform with Integrated Hydro-pneumatic Energy Storage,Malta,26,Mediterranean Sea,,8 m,,,,x,pg 7,,,,,,,,,,,no,yes,yes,yes,yes,,,
Clark et al,2019,An analytical cost model for co-located floating wind-wave energy arrays,North Sea,22,North Sea,,,,,,,,,,,,,,,"Fig 7. shows ~75-79 $/kMh , less than either cost individually",,,no,yes,yes,no,no,Modelling,,MARINA Project
Depellegrin et al,2019,Exploring Multi-Use potentials in the Euro-Mediterranean sea space,Euro-Mediterranean sea,26,Mediterranean Sea,,,,,,,,,,,,,,,NOT EXACT # but lists 'cost' as an added value to multi-use systems,,"lack of funding, fishers",yes,yes,no,no,yes,,The joint use of resources in close geographic proximity. This can involve either a single user or multiple users performing multiple uses.,Definition was grounded by expert group in a workshop
Flikkema and Waals,2019,Space@Sea the Floating Solution,"North Sea, Mediterranean",other,Other,"<20nmn, 60km",,,,,,,,,,,,,,,conducted for understanding inhabitant needs,need for regluations,yes,no,no,no,yes,,,
Green at al,2019,Enabling Power at Sea: Opportunities for Expanded Ocean Observations through Marine Renewable Energy Integration,United States,other,Other,,,,,,,,,,,,,,,,ocean observation stakeholders,,yes,no,yes,yes,yes,stakeholder survey,,interviews regarding potential benefits of powering ocean observing with MRE
Kularathna et al,2019,Evaluation of Co-Existence Options of Marine Renewable Energy Projects in Japan,Southern Japanese Seas,other,Other,,,,,,,,,,,,,,,,based on level of impact to daily lives. Calls for early engagement with community. Fishers preferrred the option to share oceanographic data.,,no,yes,no,yes,no,stakeholder survey,,
Lande-Sudal et al,2019,Co-located deployment of offshore wind turbines with tidal stream turbine arrays for improved cost of electricity generation,North Sea,22,North Sea,,,,,,,,,,,,,,,NOT EXACT # Levelised cost of entry is 10-12% lower with co-location of wind and tidal,,,no,yes,no,yes,no,,,
Lande-Sudal et al,2018,Co-located offshore wind and tidal stream turbines: Assessment of energy yield and loading,UK,22,North Sea,,,,,,,,,,,,,,,n/a,n/a,n/a,no,yes,no,yes,no,,,
Legorburu et al,2018,Multi-use maritime platforms - North Sea oil and offshore wind: Opportunity and risk,North Sea,22,North Sea,,>60 m,"pg 79 (depth map), 80 (mean depth of existing farms)",,,,,,,,,,,,,,Market between sectors will need lots of coordination,no,yes,no,no,yes,,no,
Mohammed et al,2018,Economical Evaluation and Optimal Energy Management of a Stand-Alone Hybrid Energy System Handling in Genetic Algorithm Strategies,Brittany (coastal),24,Celtic Biscay Shelf,,,,,,,,,,,,,,,model reflects that optimum cost of energy at this location is wind/battery hybrid system,,environmental variability affects economic efficiency,no,yes,no,yes,yes,Recommendations,no,intelligent algorithm was developed and used to optimize energy management of this hybrid energy system
Roy et al,2018,Electrical Power Supply of Remote Maritime Areas: A Review of Hybrid Systems Based on Marine Renewable Energies,Global,n/a,N/A,,,,,,,,,,,,,,,NOT EXACT # notes that cost is reduced with co-location but dependant of maximun load (as dictated by environmental and physical parameters),,Variability in economics due to environmental and physical parameters,no,yes,yes,yes,yes,Review,no,
Shyam Kularathna and Takagi,2018,"Factors Behind Local Acceptability of Marine Renewable Energy Projects and Perceived Preferences of Possible Co-Existence Options: Case Study of Marine Renewable Energy Development in Nagasaki, Japan",Nagasaki waters,47,East China Sea,,,,,,,,,,,,,,,,"90% of respondants where knowledgable and supportive of MRE. Of the supporters, 69.8% remained in support even after hear about potential negative impacts. 20.57% of respondendts preferred co-locating over other alternatives (Fig 3) but 2 other alternatives were more widely supported.",,no,yes,no,yes,no,Stakeholder survey,,
Sie et al,2018,"Stakeholders Opinions on Multi-Use Deep Water Offshore Platform in Hsiao-Liu-Chiu, Taiwan",Taiwan (Hsiao-Liu-Chiu Island),36,South China Sea,,300 m,"pg 2 (site depth 300 m), pg 6 (mentions of optimal depth in suitable site)",,,x,pg 2,,,,,,,,,general support becuase of positive impacts like increased tourism (economic prosperity) and fish production,Potential environmental impacts,yes,yes,no,no,yes,Stakeholder survey,,
Tawil et al,2018,Sizing and rough optimization of a hybrid renewable-based farm in a stand-alone marine context,Ouessant Island (France),24,Celtic Biscay Shelf,,10 m,"pg 1141 (for tidal the depth is indicated in ""Passage du Fromveur""??)",,,,,,,,,,,,,,,no,yes,no,yes,yes,,,
Cao et al,2017,Hybrid renewable energy system for ocean going platforms,,n/a,N/A,,,,x,pg 2,,,,,,,,,,,,,no,yes,yes,no,yes,,,
Castro-Santos et al,2017,Economic comparison of technological alternatives to harness offshore wind and wave energies,,n/a,N/A,,,,,,,,,,,,,,,"Total cost outlined in Table 7. CO-locating is more efficient that other optionns, besides just wind turbines",,,no,yes,yes,no,no,,,distinguishes hybrid sysytem from co-located systems
Koundouri et al,2017,Introduction to the MERMAID Project,European seas (4 sites),other,Other,,,,,,,,,,,,,,,"NOT EXACT # ""Economic efficiency satisfies the condition that the marginal (social) cost of each production activity under consideration equals the respective marginal (social) benefit.""","""Involving different stakeholders has shared and increased knowledge on the difficulties with regards to the development and implementation of MUΟPs.""",,yes,yes,yes,yes,yes,,,MERMAID
Koundouri et al,2017,Methodology for Integrated Socio-economic Assessment of Multi-use Offshore Platforms,European seas (4 sites),other,Other,,,,,,,,,,,,,,,,,,yes,yes,yes,no,no,,,MERMAID
Xepapadeas et al,2017,Risk Analysis for the Selected MERMAID Final Designs,European seas (4 sites),other,Other,,,,,,,,,,,,,,,,,,yes,yes,yes,no,no,,,MERMAID
Cradden et al,2016,Multi-criteria site selection for offshore renewable energy platforms,,other,Other,,>250 m,,x,pg 793,,,,,,,,,,,,,no,yes,yes,no,no,,,
Stelzenmuller et al,2016,Co-location of passive gear fisheries in offshore wind farms in the German EEZ of the North Sea: A first socio-economic scoping,North Sea,22,North Sea,,,,,,,,,,,,,,,,,,no,yes,yes,no,no,siting,,
Gimple et al,2015,A GIS modelling framework to evaluate marine spatial planning scenarios: Co-location of offshore wind farms and aquaculture in the German EEZ,North Sea,22,North Sea,,"0-10 m, 10-20 m",Page 109 (paragraph 2 looks at optimal depths for different species of farmed seafood),x,"Weisse R, Plüβ A. Storm-related sea level variations along the North Sea coast as simulated by a high-resolution model 1958-2002",x,"Max Troell, Alyssa Joyce, Thierry Chopin, Amir Neori, Alejandro H. Buschmann, Jian-Guang Fang, Ecological engineering in aquaculture — Potential for integrated multi-trophic aquaculture (IMTA) in marine offshore systems",,,x,page 104 & 106,,,,,,,yes,yes,no,no,no,,,
Zanuttigh et al,2015,"Boosting Blue Growth in a Mild Sea: Analysis of the Synergies Produced by a Multi-Purpose Offshore Installation in the Northern Adriatic, Italy",North Adriatic Sea,26,Mediterranean Sea,,>27 m,minimum depth for aquaculture,x,pg 6810,,,x,pg 6831 (environmental impact),x,pg 6831 (environmental impact,,,,"NOT EXACT #. Cost increases with depth. The most cost effective choice of MUP from this project is the intregrated fixed wave energy devices, mini-wind and fish farm.","Stakeholder support will require a ""participatory and multidisciplinary design process based on clear responsibilities and cooperation amongst users."" also energy and tech sectors requested access to training MUPs",,yes,yes,yes,yes,no,,,
Michler-Cieluch and Krause,2009,Reflections on integrating operation and maintenance activities of offshore wind farms and mariculture,North Sea (Germany),22,North Sea,,,,,,,,,,,,,,,NOT EXAACT # discusses cost savings and the importance of saving money on O&M costs,Supported by both sector stakeholders becuase of cost savings,,yes,yes,no,no,no,Recommendations,,
Buck et al,2008,Meeting the quest for spatial efficiency: progress and prospects of extensive aquaculture within offshore wind farms,North Sea,22,North Sea,,,,,,,,,,,,,,,NOT EXACT #. Generally calls for economic data and ntoes that economic feasibility will be key for utilizing joint activities,Thorough stakeholder pros listed in table 2,Thorough stakeholder cons listed in table 2,yes,yes,no,no,no,,,stakeholder survey and recommendations
