first_author,year,title,country,lme,location,distance_to_shore,depth,reference,ecology,governance,socioecon,wave_height_average_m,reference,sst_c,reference,biodiversity_indicator,reference,nutrients_n_p_chla,reference,policy_pathways,regulations,management_obstacles,gross_cost_usd,stakeholder_support,conflicts,aquaculture_present,wind_present,wave_present,tidal_present,other_present,phrase_identifier,definition,notes
Nassar et al,2020,Assessment of Multi-Use Offshore Platforms: Structure Classification and Design Challenges,,n/a,,,,,0,1,0,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,Review,,
O'Donncha et al,2017,Modelling study of the effects of suspended aquaculture installations on tidal stream generation in Cobscook Bay,"Cobscook Bay, Maine",NE U.S. Continental Shelf,,,x,mentioned in terms of its relationship to modelling flux/flow,1,1,0,,,,,,,,,,,,,,,yes,no,no,yes,no,,,
O'Donncha et al,2015,Numerical modelling study of the effects of suspended aquaculture farms on tidal stream energy generation,,n/a,,,,,1,1,0,,,,,,,,,,,,,,,yes,no,no,yes,no,modelling,no,modelling optimum density of aquaculure/tidal farms
Oliveira-Pinto et al,2020,Assessment of the potential of combining wave and solar energy resources to power supply worldwide offshore oil and gas platforms,,other,,,,,0,0,1,,,,,,,,,,,,"NOT EXACT # but using solar/wave combinations at O&G platforms at the three locations would contribute for a reduction of ca. 281,915 t/year of CO2 at each site. Table 3/4 gives costs of certian items in Euros/Watt Peak",,,no,no,yes,no,yes,,,examines economic and environmental aspects of powering O&G wiht solar/wave units
Onea and Rusu,2015,Coastal impact of a hybrid marine farm operating close to the Sardinia Island,,Mediterranean Sea,Mediterranean Sea,3-4 km,40-100 m,pg 2,1,0,0,3.02 m,"yearly avg, pg 3",,,,,,,,,,,,,no,yes,yes,no,no,Assess the impact of a hybrid marine farm (wind and wave) over the wave patterns reported in the western part of the Sardinia Island; found that any hybrid farm config can reduce coastal stresses induced by the wave action,,
Onea et al,2017,Assessment of the potential for developing combined wind-wave projects in the European nearshore,European Seas,other,,,1.8-220 m,,1,1,0,x,pg 585 (included wave height as a parameter in equation,,,,,,,,,,,,,no,yes,yes,no,no,,,
Onyango et al,2020,Is Demonstrating the Concept of Multi-Use Too Soon for the North Sea? Barriers and Opportunities from a Stakeholder Perspective,North Sea,North Sea,variable,,,,0,1,1,,,,,,,,,national variability. Key barriers include lack of MU-friendly policies,national variability. ,requires MSP to process to enable co-existence of compatible actvities; discusses that some nations doNOT include Oil and gas as potential multiple use contributors,NOT EXACT #. discusses availbility of economic incentives (only 1 nation had these) and other economic Drivers/barriers.,notes oppoition to aquaculture/OWF as a barrier,notes oppoition to aquaculture as a barrier,yes,yes,yes,yes,yes,User Conflicts,,examined 10 MU combinations (3 involved aquaculture). Notes the lack of general MU definition. There is no way to uniformly do MU b/c each nation has different regulations and the NS is a highly contested and crowded space (user conflicts)
Perez-Collazo et al,2015,A review of combined wave and offshore wind energy,European Seas,other,,,x,Page144 (mentions importance of looking at water depth to classify wind-wave systems),1,1,1,,,,,,,,,,,Calls for coordinated planning and a simplified licensing procedue,NOT EXACT # but talks about how industries could split start up costs,,,no,yes,yes,no,no,Review and recommendations,,Review of wind/wave combined synergies
Perez-Collazo et. al,2019,Monopile-mounted wave energy converter for a hybrid wind-wave system,,n/a,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,orphan
Pringle et al,2017,Aquavoltaics: Synergies for dual use of water area for solar photovoltaic electricity generation and aquaculture,,n/a,,,,,1,1,0,,,x,"Boeuf G, Le Bail P-Y. Does light have an influence on fish growth?",,,x,"Meseck SL, Alix JH, Wikfors GH. Photoperiod and light intensity effects on growth and utilization of nutrients by the aquaculture feed microalga, Tetraselmis chui","""Processes are simplified and become easier when knowledge is free and easily accessible to both small time users and large companies""",,Rapid growth of the industry requires that policy is dynamic and safeguards the environment while protecting operation costs,,,,yes,no,no,no,yes,Review and recommendations,,
Roy et al,2018,Electrical Power Supply of Remote Maritime Areas: A Review of Hybrid Systems Based on Marine Renewable Energies,Global,n/a,,,,,0,0,1,,,,,,,,,,,,NOT EXACT # notes that cost is reduced with co-location but dependant of maximun load (as dictated by environmental and physical parameters),,Variability in economics due to environmental and physical parameters,no,yes,yes,yes,yes,Review,no,
Schupp et al,2019,Toward a Common Understanding of Ocean Multi-Use,European Seas,n/a,variable,,,,0,1,1,,,,,,,,,,,"there is no ""one size fits all"" approach",NOT Exact #,,msp can manage user conflicts; ,yes,yes,yes,no,yes,Typology for 'multi-use',refers to as symbiosis,Builds a typology and provides definition for multi use 
Shawon et. al,2013,An Integrated Topology of Hybrid Marine Farm & Wind Farm,,n/a,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,orphan
Shyam Kularathna and Takagi,2018,"Factors Behind Local Acceptability of Marine Renewable Energy Projects and Perceived Preferences of Possible Co-Existence Options: Case Study of Marine Renewable Energy Development in Nagasaki, Japan",Nagasaki waters,East China Sea,,,,,0,0,1,,,,,,,,,,,,,"90% of respondants where knowledgable and supportive of MRE. Of the supporters, 69.8% remained in support even after hear about potential negative impacts. 20.57% of respondendts preferred co-locating over other alternatives (Fig 3) but 2 other alternatives were more widely supported.",,no,yes,no,yes,no,Stakeholder survey,,
Sie et al,2018,"Stakeholders Opinions on Multi-Use Deep Water Offshore Platform in Hsiao-Liu-Chiu, Taiwan",Hsiao-Liu-Chiu Island,South China Sea,,,300 m,"pg 2 (site depth 300 m), pg 6 (mentions of optimal depth in suitable site)",1,0,1,,,x,pg 2,,,,,,,,,general support becuase of positive impacts like increased tourism (economic prosperity) and fish production,Potential environmental impacts,yes,yes,no,no,yes,Stakeholder survey,,
Simal et al ,2017,Socio-economic Assessment of a Selected Multi-use Offshore Site in the Atlantic,Cantabrian Sea (Cantabria Offshore Site),other,3-20 km,,,,0,1,1,,,,,,,,,The administrative procedures include the following processes: (a) administrative authorization which is set by the Royal Decree No. 1955/2000; (b) environmental impact assessment of the project; (c) environmental impact study (available Environmental Impact Assessment (EIA) for similar project in the region: Plan Eólico de Cantabria); (d) identification and justification of the sea-land public domain to be occupied; (e) approval of the construction project; (f) start-up certificate.,"Marine energy in Spain includes:
(a) the Renewable Energies Plan 2011–2020 (PER)
(b) the Royal Decree No. 661/2007
(c) the Royal Decree No. 1028/2007
(d) Administrative procedures","""The majority of proposals made for the Spanish Coast site are oriented to energy production. Thus, costs cannot be shared among sectors, while the financial conditions of the business operation depend critically on policy regulations determined by the public sector.""","Table 5.3 Benefit Transfer Application for the Cantabria Offshore Site.
Section 5.4 also concludes by saying that the wind/wave combination is highly profitable, while just the wind option is not","""stakeholders referred that in general there is a high risk on geotechnical failure and failure with land connections."" 
""There is also great uncertainty on the regulatory conditions for the affected sectors.""","""The sensitivity of local society towards the aesthetic and functional impact of the proposed facilities is rather high and negative.""
Other barriers: 
(a) Lack of social consensus
(b) Need for consistent time scheduling for decisions and intermediate steps
(c) Regulatory risks connected with energy policy in Spain and Europe
(d) Current controversies on external energy dependence may promote marine
energy production in future.",no,yes,yes,no,no,Case study,no,MERMAID  project publication. Suggests that technology exists to do this and it SHOULD be profitable
Soderqvist,2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the North Sea,Gemini,North Sea,55 km,,,,0,1,1,,,,,,,,,"Outlined in ""Policy Document North Sea 2009 -2015"". ""However, this has not yet resulted in establishing a regulatory framework for multi-use.""",Extensive regulations outlined for renewable energy generation in the Netherlands. Also there has been more prelimilary reference to Multi use of marine areas in national law,"""Already awarded permits for offshore wind farms such as the Gemini site are only for single-use. The absence of licences for multi-use production is a major obstacle. Also, as was mentioned above, there are no areas designated for offshore aquaculture in the Dutch spatial plans for the North Sea.""",Table 4.6 for both wind and mussel costs. Shows that it would be profitable. Wind farms would need subsidies,,lack of trust amongst potential users. Issues with fishermen who will lose fishing grounds. Environmental impacts,yes,yes,no,no,no,Case study,no,MERMAID  project publication. Suggests that co locating bivalve cultivation with wind generation would be socio econoically and finacially viable 
Stelzenm�ller et al,2016,Co-location of passive gear fisheries in offshore wind farms in the German EEZ of the North Sea: A first socio-economic scoping,,North Sea,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,
